test,name,amount,size
lincumu,ClojureTreeMap,16,5056
lincumu,ClojureTreeMap,32,12408
lincumu,ClojureTreeMap,64,29744
lincumu,ClojureTreeMap,128,69736
lincumu,ClojureTreeMap,256,160416
lincumu,ClojureTreeMap,512,363224
lincumu,ClojureTreeMap,1024,811792
lincumu,ClojureTreeMap,2048,1794888
lincumu,ClojureTreeMap,4096,3933056
lincumu,ClojureTreeMap,8192,8553400
lincumu,ClojureTreeMap,16384,18482160
lincumu,ClojureTreeMap,32768,39715880
lincumu,ClojureTreeMap,65536,84935776
lincumu,ClojureTreeMap,131072,180880536
lincumu,ClojureTreeMap,262144,383780048
lincumu,ClojureTreeMap,524288,811599112
lincumu,ClojureTreeMap,1048576,1711277376
lincumu,ClojureTreeMap,2097152,3598714232
lincumu,ClojureTreeMap,4194304,7549748656
lincumu,ClojureTreeMap,8388608,15804138984
lincumu,PaguroTreeMap,1,224
lincumu,PaguroTreeMap,2,376
lincumu,PaguroTreeMap,4,760
lincumu,PaguroTreeMap,8,1768
lincumu,PaguroTreeMap,16,4312
lincumu,PaguroTreeMap,32,10504
lincumu,PaguroTreeMap,64,25144
lincumu,PaguroTreeMap,128,58984
lincumu,PaguroTreeMap,256,135832
lincumu,PaguroTreeMap,512,307912
lincumu,PaguroTreeMap,1024,688888
lincumu,PaguroTreeMap,2048,1524520
lincumu,PaguroTreeMap,4096,3343192
lincumu,PaguroTreeMap,8192,7275400
lincumu,PaguroTreeMap,16384,15729592
lincumu,PaguroTreeMap,32768,33817576
lincumu,PaguroTreeMap,65536,72352792
lincumu,PaguroTreeMap,131072,154141768
lincumu,PaguroTreeMap,262144,327156856
lincumu,PaguroTreeMap,524288,692061352
lincumu,PaguroTreeMap,1048576,1459619032
lincumu,PaguroTreeMap,2097152,3070231816
lincumu,PaguroTreeMap,4194304,6442452280
lincumu,PaguroTreeMap,8388608,13488883048
lincumu,ArrayMap,1,624
lincumu,ArrayMap,2,1200
lincumu,ArrayMap,4,2352
lincumu,ArrayMap,8,4656
lincumu,ArrayMap,16,9264
lincumu,ArrayMap,32,18480
lincumu,ArrayMap,64,36912
lincumu,ArrayMap,128,106544
lincumu,ArrayMap,256,376880
lincumu,ArrayMap,512,1441840
lincumu,ArrayMap,1024,5668912
lincumu,ArrayMap,2048,22511664
lincumu,ArrayMap,4096,89751600
lincumu,ArrayMap,8192,358449200
lincumu,ArrayMap,16384,1432715312
lincumu,ArrayMap,32768,5728731184
lincumu,ArrayMap,65536,22910697520
lincumu,ArrayMap,131072,91634368560
lincumu,IntHamt32Kotlin,1,184
lincumu,IntHamt32Kotlin,2,328
lincumu,IntHamt32Kotlin,4,656
lincumu,IntHamt32Kotlin,8,1456
lincumu,IntHamt32Kotlin,16,3632
lincumu,IntHamt32Kotlin,32,10288
lincumu,IntHamt32Kotlin,64,28104
lincumu,IntHamt32Kotlin,128,58568
lincumu,IntHamt32Kotlin,256,124104
lincumu,IntHamt32Kotlin,512,273608
lincumu,IntHamt32Kotlin,1024,646344
lincumu,IntHamt32Kotlin,2048,1535944
lincumu,IntHamt32Kotlin,4096,3149768
lincumu,IntHamt32Kotlin,8192,6524872
lincumu,IntHamt32Kotlin,16384,13864904
lincumu,IntHamt32Kotlin,32768,30904264
lincumu,IntHamt32Kotlin,65536,69595080
lincumu,IntHamt32Kotlin,131072,141684680
lincumu,IntHamt32Kotlin,262144,290582472
lincumu,IntHamt32Kotlin,524288,607252424
lincumu,IntHamt32Kotlin,1048576,1316089800
lincumu,IntHamt32Kotlin,2097152,2881351624
lincumu,IntHamt32Kotlin,4194304,5842530248
lincumu,IntHamt32Kotlin,8388608,11915882440
lincumu,ClojureRrbMap,1,512
lincumu,ClojureRrbMap,2,648
lincumu,ClojureRrbMap,4,944
lincumu,ClojureRrbMap,8,1632
lincumu,ClojureRrbMap,16,3392
lincumu,ClojureRrbMap,32,8448
lincumu,ClojureRrbMap,64,16856
lincumu,ClojureRrbMap,128,33672
lincumu,ClojureRrbMap,256,67304
lincumu,ClojureRrbMap,512,134568
lincumu,ClojureRrbMap,1024,269096
lincumu,ClojureRrbMap,2048,547824
lincumu,ClojureRrbMap,4096,1105904
lincumu,ClojureRrbMap,8192,2222064
lincumu,ClojureRrbMap,16384,4454384
lincumu,ClojureRrbMap,32768,8919024
lincumu,ClojureRrbMap,65536,18167480
lincumu,ClojureRrbMap,131072,36665016
lincumu,ClojureRrbMap,262144,73660088
lincumu,ClojureRrbMap,524288,147650232
lincumu,ClojureRrbMap,1048576,295630520
lincumu,ClojureRrbMap,2097152,601814400
lincumu,ClojureRrbMap,4194304,1214182784
lincumu,ClojureRrbMap,8388608,2438919552
lincumu,IntHamt64Java,1,184
lincumu,IntHamt64Java,2,328
lincumu,IntHamt64Java,4,656
lincumu,IntHamt64Java,8,1456
lincumu,IntHamt64Java,16,3632
lincumu,IntHamt64Java,32,10288
lincumu,IntHamt64Java,64,38344
lincumu,IntHamt64Java,128,80072
lincumu,IntHamt64Java,256,165064
lincumu,IntHamt64Java,512,341192
lincumu,IntHamt64Java,1024,718024
lincumu,IntHamt64Java,2048,1569992
lincumu,IntHamt64Java,4096,3921096
lincumu,IntHamt64Java,8192,8197320
lincumu,IntHamt64Java,16384,16848072
lincumu,IntHamt64Java,32768,34542792
lincumu,IntHamt64Java,65536,71505096
lincumu,IntHamt64Java,131072,151721160
lincumu,IntHamt64Java,262144,344134856
lincumu,IntHamt64Java,524288,709039304
lincumu,IntHamt64Java,1048576,1445139656
lincumu,IntHamt64Java,2097152,2942506184
lincumu,IntHamt64Java,4194304,6037902536
lincumu,IntHamt64Java,8388608,12631348424
lincumu,PaguroRrbMap,1,208
lincumu,PaguroRrbMap,2,328
lincumu,PaguroRrbMap,4,592
lincumu,PaguroRrbMap,8,1216
lincumu,PaguroRrbMap,16,2848
lincumu,PaguroRrbMap,32,7648
